sequenceID	species	genotype	subtype
EU726488	SRLV	BC	B1
EU726489	SRLV	BC	B1
EU726490	SRLV	E	E1
EU726491	SRLV	BC	B1
EU726492	SRLV	E	E1
EU726493	SRLV	E	E1
EU726494	SRLV	E	E1
EU726495	SRLV	BC	B1
EU726496	SRLV	BC	B1
EU726497	SRLV	E	E1
EU726498	SRLV	BC	B1
EU726499	SRLV	E	E1
EU726500	SRLV	BC	B1
EU726501	SRLV	BC	B1
EU726502	SRLV	E	E1
EU726503	SRLV	E	E1
EU726504	SRLV	E	E1
EU726505	SRLV	E	E1
EU726506	SRLV	E	E1
EU726507	SRLV	BC	B1
EU726508	SRLV	BC	B1
EU726509	SRLV	A	A8
EU726510	SRLV	E	E1
EU726511	SRLV	BC	B1
EU726512	SRLV	E	E1
EU726513	SRLV	BC	B1
EU726514	SRLV	BC	B1
EU726515	SRLV	E	E1
EU726516	SRLV	BC	B1
EU726517	SRLV	BC	B1
EU726518	SRLV	E	E1
EU726519	SRLV	BC	B1
EU726520	SRLV	E	E1
EU726521	SRLV	BC	B1
EU726522	SRLV	BC	B1
EU726523	SRLV	A	A8
EU726524	SRLV	E	E1
EU726525	SRLV	E	E1
EU818762	SRLV	BC	C
EU818763	SRLV	BC	C
EU818764	SRLV	BC	-
EU818765	SRLV	BC	C
EU818766	SRLV	BC	C
EU818767	SRLV	BC	-
EU818768	SRLV	BC	C
EU818769	SRLV	BC	C
EU818770	SRLV	BC	C
EU818771	SRLV	BC	C
EU818772	SRLV	A	A1
EU818773	SRLV	A	A1
EU818774	SRLV	BC	-
EU818775	SRLV	BC	-
EU818776	SRLV	BC	-
EU818777	SRLV	BC	C
EU818778	SRLV	BC	C
EU818779	SRLV	BC	C
EU818780	SRLV	BC	C
EU818781	SRLV	BC	C
EU919141	SRLV	BC	B1
EU983108	SRLV	BC	B1
EU983109	SRLV	BC	B1
FJ167525	SRLV	BC	B1
FJ187802	SRLV	BC	B2
FJ187803	SRLV	BC	B2
FJ187804	SRLV	BC	B2
FJ187805	SRLV	BC	B2
FJ187806	SRLV	BC	B2
FJ187807	SRLV	BC	B2
FJ187808	SRLV	BC	B2
FJ187809	SRLV	BC	B2
FJ187810	SRLV	BC	B2
FJ187811	SRLV	BC	B2
FJ187812	SRLV	BC	B2
FJ389754	SRLV	E	E1
FJ623110	SRLV	BC	B1
FJ623111	SRLV	A	A3
FJ623112	SRLV	BC	B2
FJ623113	SRLV	BC	B2
FJ623114	SRLV	A	A3
FJ623115	SRLV	A	A1
FJ623116	SRLV	A	A3
FJ623117	SRLV	A	A1
FJ623118	SRLV	A	A1
FJ623119	SRLV	A	A3
FJ623120	SRLV	A	A3
FJ623121	SRLV	BC	B2
FJ623122	SRLV	A	A3
FJ623123	SRLV	A	A3
FJ623124	SRLV	A	A1
FJ623125	SRLV	BC	B1
FR687200	SRLV	BC	B2
FR693808	SRLV	A	-
FR693809	SRLV	A	-
FR693810	SRLV	A	-
FR693811	SRLV	A	-
FR693812	SRLV	A	-
FR693813	SRLV	A	-
FR693814	SRLV	A	-
FR693815	SRLV	A	-
FR693816	SRLV	A	-
FR693817	SRLV	A	-
FR693818	SRLV	A	-
FR693819	SRLV	A	-
FR693820	SRLV	A	-
FR693821	SRLV	A	-
FR693822	SRLV	A	-
FR693823	SRLV	A	-
FR693824	SRLV	A	-
FR693825	SRLV	A	-
FR693826	SRLV	A	-
FR693827	SRLV	A	-
FR693828	SRLV	A	-
FR693829	SRLV	A	-
FR693830	SRLV	A	-
FR693831	SRLV	A	-
FR693832	SRLV	A	-
FR694686	SRLV	BC	-
FR694687	SRLV	BC	-
FR694688	SRLV	BC	-
FR694689	SRLV	BC	B3
FR694690	SRLV	BC	B3
FR694691	SRLV	BC	B3
FR694692	SRLV	A	-
FR694693	SRLV	A	-
FR694694	SRLV	A	-
FR694695	SRLV	A	-
FR694696	SRLV	A	A18
FR694908	SRLV	A	A18
FR694909	SRLV	A	A18
FR694910	SRLV	A	A18
FR694911	SRLV	E	E2
FR694912	SRLV	E	E2
FR694913	SRLV	E	E2
FR694914	SRLV	A	A18
FR694915	SRLV	BC	B1
FR694916	SRLV	BC	B1
FR694917	SRLV	BC	B1
FR694918	SRLV	BC	B1
FR694919	SRLV	BC	B1
FR694920	SRLV	E	E2
FR694921	SRLV	E	E2
FR695064	SRLV	A	-
FR695719	SRLV	BC	B2
FR828809	SRLV	A	-
FR828810	SRLV	BC	B3
FR828811	SRLV	BC	B3
FR828812	SRLV	BC	-
FR828813	SRLV	BC	B3
FR828814	SRLV	BC	B2
FR828815	SRLV	BC	-
FR828816	SRLV	BC	-
GQ161209	SRLV	BC	B1
GQ161210	SRLV	BC	B1
GQ161211	SRLV	BC	B1
GQ161212	SRLV	BC	B1
GQ161213	SRLV	BC	B1
GQ161214	SRLV	BC	B1
GQ161215	SRLV	BC	B1
GQ255385	SRLV	A	A3
GQ255386	SRLV	A	A3
GQ255391	SRLV	A	A3
GQ255401	SRLV	A	A3
GQ255403	SRLV	A	A3
GQ255411	SRLV	A	A3
GQ255417	SRLV	A	A3
GQ255423	SRLV	A	A3
GQ255428	SRLV	A	A3
GQ255433	SRLV	A	A3
GQ428519	SRLV	E	-
GQ428520	SRLV	E	E2
GQ428521	SRLV	E	E1
GQ428522	SRLV	E	E2
GQ428523	SRLV	E	E1
GQ428524	SRLV	E	-
GQ428525	SRLV	E	E1
GQ428526	SRLV	E	-
GQ428527	SRLV	E	E2
GQ428528	SRLV	E	-
GQ428529	SRLV	E	E1
GQ428530	SRLV	E	E1
GQ428531	SRLV	E	E1
GQ428532	SRLV	E	E1
GQ428533	SRLV	E	E2
GQ428534	SRLV	E	E2
GQ428535	SRLV	E	E2
GQ428536	SRLV	E	E2
GQ862797	SRLV	-	-
GQ996380	SRLV	BC	B1
GU903321	SRLV	BC	B1
HM212792	SRLV	BC	B1
HM212793	SRLV	BC	B1
HM237197	SRLV	BC	B1
HM449450	SRLV	BC	B1
HM449451	SRLV	BC	B1
HM449452	SRLV	BC	B1
HM449453	SRLV	BC	B1
HM449454	SRLV	BC	B1
HM449455	SRLV	BC	B1
HM449456	SRLV	BC	B1
HM449457	SRLV	BC	B1
HM449458	SRLV	BC	B1
HM449459	SRLV	BC	B1
HM449460	SRLV	BC	B1
HM449461	SRLV	A	A8
HM449462	SRLV	A	A8
HM449463	SRLV	A	A8
HM449464	SRLV	A	A8
HM449465	SRLV	A	A8
HM449466	SRLV	A	A8
HM449467	SRLV	A	A8
HM449468	SRLV	A	A8
HM449469	SRLV	A	A8
HM449470	SRLV	A	A8
HM449471	SRLV	A	A8
HM449472	SRLV	A	A8
HM449473	SRLV	A	A8
HM449474	SRLV	A	A8
HM449475	SRLV	A	A8
HM449476	SRLV	A	A8
HM449477	SRLV	A	A8
HM449478	SRLV	A	A8
HM449479	SRLV	A	A8
HM449480	SRLV	A	A8
HM449481	SRLV	A	A8
HM449482	SRLV	A	A8
HM449483	SRLV	A	A8
HM449484	SRLV	A	A8
HM449485	SRLV	A	A8
HM449486	SRLV	A	A8
HM449487	SRLV	A	A8
HM449488	SRLV	A	A8
HM449489	SRLV	A	A8
HM449490	SRLV	A	A8
HM449491	SRLV	A	A8
HM449492	SRLV	A	A8
HM449493	SRLV	A	A8
HM449494	SRLV	A	A8
HM449495	SRLV	A	A8
HM449496	SRLV	A	A8
HM449497	SRLV	A	A8
HM449498	SRLV	A	A8
HM449499	SRLV	A	A8
HM449500	SRLV	A	A8
HM449501	SRLV	A	A8
HM449502	SRLV	A	A8
HM449503	SRLV	A	A8
HM449504	SRLV	A	A8
HM449505	SRLV	A	-
HM449506	SRLV	A	-
HM449507	SRLV	A	A1
HM449508	SRLV	A	-
HM449509	SRLV	A	-
HM449510	SRLV	A	A1
HM449511	SRLV	A	-
HM449512	SRLV	A	-
HM449513	SRLV	A	-
HM449514	SRLV	A	-
HM449515	SRLV	A	A1
HM449516	SRLV	A	-
HM449517	SRLV	A	A1
HM449518	SRLV	A	-
HM449519	SRLV	A	-
HM449520	SRLV	A	-
HM449521	SRLV	A	A1
HM449522	SRLV	A	A1
HM449523	SRLV	A	-
HM449524	SRLV	A	-
HM449525	SRLV	A	-
HM449526	SRLV	A	-
HM449527	SRLV	A	-
HM449528	SRLV	A	-
HM449529	SRLV	A	-
HM449530	SRLV	A	A1
HM449531	SRLV	A	-
HM449532	SRLV	BC	B1
HM449533	SRLV	BC	B1
HM449534	SRLV	BC	B1
HM449535	SRLV	BC	B1
HM449536	SRLV	BC	B1
HM449537	SRLV	BC	B1
HM449538	SRLV	BC	B1
HM449539	SRLV	BC	B1
HM449540	SRLV	A	A8
HM449541	SRLV	A	A8
HM449542	SRLV	BC	B1
HM449543	SRLV	BC	B1
HM449544	SRLV	BC	B1
HM449545	SRLV	BC	B1
HM449546	SRLV	BC	B1
HM449547	SRLV	BC	B1
HM449548	SRLV	BC	B1
HM449549	SRLV	BC	B1
HM449550	SRLV	BC	B1
HM449551	SRLV	BC	B1
HM449552	SRLV	BC	B1
HM449553	SRLV	BC	B1
HM449554	SRLV	BC	B1
HM449555	SRLV	BC	B1
HM449556	SRLV	BC	B1
HM449557	SRLV	BC	B1
HM449558	SRLV	BC	B1
HM449559	SRLV	BC	B1
HM449560	SRLV	A	A8
HM449561	SRLV	A	A8
HM449562	SRLV	A	A8
HM449563	SRLV	A	A8
HM449564	SRLV	A	A8
HM449565	SRLV	A	A8
HM449566	SRLV	A	A8
HM449567	SRLV	A	A8
HM449568	SRLV	A	A8
HM449569	SRLV	A	A8
HM449570	SRLV	A	A8
HM449571	SRLV	A	A8
HM449572	SRLV	A	A8
HM449573	SRLV	A	A8
HM449574	SRLV	A	A8
HM449575	SRLV	A	A8
HM449576	SRLV	A	A8
HM449577	SRLV	A	A8
HM449578	SRLV	A	A8
HM449579	SRLV	A	A8
HM449580	SRLV	A	A8
HM449581	SRLV	A	A8
HM449582	SRLV	A	A8
HM449583	SRLV	A	A8
HM449584	SRLV	A	A8
HM449585	SRLV	A	A8
HM449586	SRLV	A	A8
HM449587	SRLV	A	A8
HM449588	SRLV	A	A8
HM449589	SRLV	A	A8
HM449590	SRLV	A	A8
HM449591	SRLV	A	A8
HM449592	SRLV	A	A8
HM449593	SRLV	A	A8
HM449594	SRLV	BC	B1
HM449595	SRLV	BC	B1
HM449596	SRLV	BC	B1
HM449597	SRLV	BC	B1
HM449598	SRLV	BC	B1
HM449599	SRLV	BC	B1
HM449600	SRLV	BC	B1
HM449601	SRLV	BC	B1
HM449602	SRLV	BC	B1
HM449603	SRLV	BC	B1
HM449604	SRLV	BC	B1
HM449605	SRLV	BC	B1
HM449606	SRLV	BC	B1
HM449607	SRLV	BC	B1
HM449608	SRLV	A	A8
HM449609	SRLV	A	A8
HM449610	SRLV	A	A8
HM449611	SRLV	A	A8
HM449612	SRLV	A	A8
HM449613	SRLV	A	A8
HM449614	SRLV	A	A8
HM449615	SRLV	A	A8
HM449616	SRLV	A	A8
HM449617	SRLV	A	A8
HM449618	SRLV	A	A8
HM449619	SRLV	A	A8
HM449620	SRLV	A	A8
HM449621	SRLV	A	A8
HM449622	SRLV	A	A8
HM449623	SRLV	A	A8
HM449624	SRLV	A	A8
HM449625	SRLV	A	A8
HM449626	SRLV	A	A8
HM449627	SRLV	A	A8
HM449628	SRLV	A	A8
HM449629	SRLV	A	A8
HM449630	SRLV	BC	B1
HM449631	SRLV	BC	B1
HM449632	SRLV	BC	B1
HM449633	SRLV	A	A8
HM449634	SRLV	BC	B1
HM449635	SRLV	BC	B1
HM449636	SRLV	A	A8
HM449637	SRLV	BC	B1
HM449638	SRLV	BC	B1
HM449639	SRLV	BC	B1
HM449640	SRLV	A	A8
HM449641	SRLV	BC	B1
HM449642	SRLV	A	A8
HM449643	SRLV	BC	B1
HM449644	SRLV	BC	B1
HM449645	SRLV	BC	B1
HM449646	SRLV	BC	B1
HM449647	SRLV	BC	B1
HM449648	SRLV	BC	B1
HM449649	SRLV	BC	B1
HM449650	SRLV	A	A8
HM449651	SRLV	A	A8
HM449652	SRLV	A	A8
HM449653	SRLV	A	A8
HM449654	SRLV	A	A8
HM449655	SRLV	A	A8
HM449656	SRLV	A	A8
HM449657	SRLV	A	A8
HM449658	SRLV	A	A8
HM449659	SRLV	A	A8
HM449660	SRLV	A	A8
HM449661	SRLV	A	A8
HM449662	SRLV	A	A8
HM449663	SRLV	A	A8
HM449664	SRLV	A	A8
HM449665	SRLV	A	A8
HM449666	SRLV	A	A8
HM449667	SRLV	A	A8
HM449668	SRLV	A	A8
HM449669	SRLV	A	A8
HM449670	SRLV	A	A8
HM449671	SRLV	A	A8
HM449672	SRLV	A	A8
HM449673	SRLV	A	A8
HM449674	SRLV	BC	B1
HM449675	SRLV	BC	B1
HM449676	SRLV	A	A8
HM449677	SRLV	BC	B1
HM449678	SRLV	BC	B1
HM449679	SRLV	BC	B1
HM449680	SRLV	BC	B1
HM449681	SRLV	BC	B1
HM449682	SRLV	A	A8
HM449683	SRLV	BC	B1
HM534737	SRLV	BC	B1
HM534738	SRLV	BC	B1
HM534739	SRLV	BC	B1
HM534740	SRLV	BC	B1
HM534741	SRLV	BC	B1
HQ158122	SRLV	BC	B1
HQ158123	SRLV	BC	B1
HQ158124	SRLV	BC	B1
HQ158125	SRLV	BC	B1
HQ158126	SRLV	BC	B1
HQ158127	SRLV	BC	B1
HQ158128	SRLV	BC	B1
HQ158129	SRLV	BC	B1
HQ158130	SRLV	BC	B1
HQ158131	SRLV	BC	B1
HQ158132	SRLV	A	A3
HQ158133	SRLV	A	A3
HQ158134	SRLV	A	A3
HQ158135	SRLV	A	A3
HQ158136	SRLV	A	A3
HQ696620	SRLV	BC	B1
HQ696624	SRLV	BC	B1
HQ864599	SRLV	A	A4
HQ864600	SRLV	A	A4
HQ864601	SRLV	A	A4
HQ864602	SRLV	A	A1
HQ864603	SRLV	A	A4
HQ864604	SRLV	A	A4
HQ864605	SRLV	A	A4
HQ864606	SRLV	A	A4
HQ864607	SRLV	A	A4
HQ864608	SRLV	A	A4
HQ910460	SRLV	A	A1
HQ910461	SRLV	A	A1
HQ910462	SRLV	A	A1
HQ910463	SRLV	A	A1
HQ910464	SRLV	A	A1
HQ910465	SRLV	A	A1
HQ910466	SRLV	A	-
HQ910467	SRLV	A	-
HQ910468	SRLV	A	-
HQ910469	SRLV	A	-
HQ910470	SRLV	A	-
HQ910471	SRLV	A	-
HQ910472	SRLV	BC	B1
HQ910473	SRLV	BC	B1
HQ910474	SRLV	BC	B1
HQ910475	SRLV	BC	B1
HQ910476	SRLV	BC	B1
HQ910477	SRLV	BC	B1
HQ910478	SRLV	BC	B1
HQ910479	SRLV	BC	B1
HQ910480	SRLV	BC	B1
HQ910481	SRLV	BC	B1
HQ910482	SRLV	BC	B1
HQ910483	SRLV	BC	B1
HQ910484	SRLV	BC	B1
HQ910485	SRLV	BC	B1
HQ910486	SRLV	BC	B1
HQ910487	SRLV	BC	B1
HQ910488	SRLV	BC	B1
HQ910489	SRLV	BC	B1
HQ910490	SRLV	BC	B1
HQ910491	SRLV	BC	B1
HQ910492	SRLV	BC	B1
HQ910493	SRLV	BC	B1
J04359	SRLV	A	A1
JF288187	SRLV	A	A4
JF288188	SRLV	A	A4
JF288189	SRLV	A	A4
JF288190	SRLV	A	A4
JF288191	SRLV	A	A4
JF288192	SRLV	A	A4
JF288193	SRLV	A	A4
JF288194	SRLV	A	A4
JF288195	SRLV	A	A4
JF288196	SRLV	A	A4
JF288197	SRLV	A	A4
JF288198	SRLV	A	A4
JF288199	SRLV	A	A4
JF288200	SRLV	A	A4
JF288201	SRLV	A	A4
JF288202	SRLV	A	A4
JF288203	SRLV	A	A4
JF288204	SRLV	A	A4
JF288205	SRLV	A	A4
JF288206	SRLV	A	A4
JF288207	SRLV	A	A4
JF288208	SRLV	A	A4
JF288209	SRLV	A	A4
JF288210	SRLV	A	A4
JF288211	SRLV	A	A4
JF288212	SRLV	A	A4
JF288213	SRLV	A	A4
JF288214	SRLV	A	A4
JF288215	SRLV	A	A4
JF288216	SRLV	A	A4
JF288217	SRLV	A	A4
JF288218	SRLV	A	A4
JF288219	SRLV	A	A4
JF288220	SRLV	A	A4
JF288221	SRLV	A	A4
JF288222	SRLV	A	A4
JF288223	SRLV	A	A4
JF288224	SRLV	A	A4
JF288225	SRLV	A	A4
JF288226	SRLV	A	A4
JF288227	SRLV	A	A4
JF288228	SRLV	A	A4
JF288229	SRLV	A	A4
JF288230	SRLV	A	A4
JF288231	SRLV	A	A4
JF288232	SRLV	A	A4
JF288233	SRLV	A	A4
JF288234	SRLV	A	A4
JF288235	SRLV	A	A4
JF288236	SRLV	A	A4
JF288237	SRLV	A	A4
JF288238	SRLV	A	A4
JF288239	SRLV	A	A4
JF288240	SRLV	A	A4
JF288241	SRLV	A	A4
JF288242	SRLV	A	A4
JF288243	SRLV	A	A4
JF288244	SRLV	A	A4
JF288245	SRLV	A	A4
JF288246	SRLV	A	A4
JF288247	SRLV	A	A4
JF288248	SRLV	A	A4
JF288249	SRLV	A	A4
JF288250	SRLV	A	A4
JF288251	SRLV	A	A4
JF288252	SRLV	A	A4
JF288253	SRLV	A	A4
JF288254	SRLV	A	A4
JF288255	SRLV	A	A4
JF288256	SRLV	A	A4
JF288257	SRLV	A	A4
JF288258	SRLV	A	A4
JF288259	SRLV	A	A4
JF288260	SRLV	A	A4
JF288261	SRLV	A	A4
JF288262	SRLV	A	A4
JF288263	SRLV	A	A4
JF288264	SRLV	A	A4
JF288265	SRLV	A	A4
JF288266	SRLV	A	A4
JF288267	SRLV	A	A4
JF288268	SRLV	A	A4
JF288269	SRLV	A	A4
JF288270	SRLV	A	A4
JF288271	SRLV	A	A4
JF288272	SRLV	A	A4
JF288273	SRLV	A	A4
JF288274	SRLV	A	A4
JF288275	SRLV	A	A4
JF288276	SRLV	A	A4
JF288277	SRLV	A	A4
JF288278	SRLV	A	-
JF288279	SRLV	A	-
JF288280	SRLV	A	A4
JF288281	SRLV	A	A4
JF288282	SRLV	A	-
JF288283	SRLV	A	-
JF288284	SRLV	A	-
JF288285	SRLV	A	A4
JF288286	SRLV	A	A4
JF288287	SRLV	A	A4
JF288288	SRLV	A	A4
JF288289	SRLV	A	A4
JF288290	SRLV	A	A4
JF288291	SRLV	A	A4
JF288292	SRLV	A	A4
JF288293	SRLV	A	A4
JF288294	SRLV	A	A4
JF288295	SRLV	A	A4
JF288296	SRLV	A	-
JF288297	SRLV	A	A4
JF288298	SRLV	A	A4
JF288299	SRLV	A	A4
JF288300	SRLV	A	A4
JF288301	SRLV	A	A4
JF288302	SRLV	A	A4
JF288303	SRLV	A	A4
JF288304	SRLV	A	A4
JF288305	SRLV	A	A4
JF288306	SRLV	A	A4
JF288307	SRLV	A	A4
JF288308	SRLV	A	A4
JF288309	SRLV	A	A4
JF288310	SRLV	A	A4
JF288311	SRLV	A	A4
JF288312	SRLV	A	A4
JF288313	SRLV	A	A4
JF288314	SRLV	A	A4
JF288315	SRLV	A	A4
JF288316	SRLV	A	-
JF288317	SRLV	A	-
JF288318	SRLV	A	-
JF288319	SRLV	A	-
JF288320	SRLV	A	-
JF288321	SRLV	A	-
JF288322	SRLV	A	-
JF288323	SRLV	A	-
JF288324	SRLV	A	-
JF288325	SRLV	A	-
JF288326	SRLV	A	-
JF288327	SRLV	A	-
JF288328	SRLV	A	-
JF288329	SRLV	A	-
JF288330	SRLV	A	A4
JF288331	SRLV	A	A4
JF288332	SRLV	A	A4
JF288333	SRLV	A	A4
JF288334	SRLV	A	A4
JF288335	SRLV	A	A4
JF288336	SRLV	A	A4
JF288337	SRLV	A	-
JF288338	SRLV	A	-
JF288339	SRLV	A	-
JF288340	SRLV	A	-
JF288341	SRLV	A	-
JF288342	SRLV	A	-
JF288343	SRLV	A	-
JF288344	SRLV	A	-
JF288345	SRLV	A	-
JF288346	SRLV	A	A4
JF288347	SRLV	A	A4
JF288348	SRLV	A	A4
JF288349	SRLV	A	A4
JF288350	SRLV	A	A4
JF288351	SRLV	A	A4
JF288352	SRLV	A	A4
JF288353	SRLV	A	A4
JF288354	SRLV	A	A4
JF288355	SRLV	A	-
JF288356	SRLV	A	-
JF288357	SRLV	A	A4
JF288358	SRLV	A	-
JF288359	SRLV	A	-
JF288360	SRLV	A	A4
JF288361	SRLV	A	A4
JF288362	SRLV	A	A4
JF288363	SRLV	A	A4
JF288364	SRLV	A	A4
JF288365	SRLV	A	A4
JF288366	SRLV	A	A4
JF288367	SRLV	A	A4
JF288368	SRLV	A	A4
JF288369	SRLV	A	A4
JF288370	SRLV	A	A4
JF288371	SRLV	A	A4
JF288372	SRLV	A	-
JF288373	SRLV	A	-
JF288374	SRLV	A	A4
JF288375	SRLV	A	A4
JF288376	SRLV	A	A4
JF288377	SRLV	A	-
JF288378	SRLV	A	-
JF288379	SRLV	A	-
JF288380	SRLV	A	-
JF288381	SRLV	A	-
JF288382	SRLV	A	-
JF288383	SRLV	A	-
JF288384	SRLV	A	-
JF288385	SRLV	A	-
JF288386	SRLV	A	-
JF288387	SRLV	A	-
JF288388	SRLV	A	A4
JF288389	SRLV	A	A4
JF288390	SRLV	A	A4
JF288391	SRLV	A	A4
JF288392	SRLV	A	A4
JF288393	SRLV	A	A4
JF288394	SRLV	A	A4
JF288395	SRLV	A	A4
JF288396	SRLV	A	A4
JF288397	SRLV	A	A4
JF288398	SRLV	A	A4
JF288399	SRLV	A	A4
JF288400	SRLV	A	A4
JF288401	SRLV	A	A4
JF288402	SRLV	A	A4
JF288403	SRLV	A	A4
JF288404	SRLV	A	A4
JF288405	SRLV	A	A4
JF288406	SRLV	A	A4
JF288407	SRLV	A	A4
JF288408	SRLV	A	A4
JF288409	SRLV	A	A4
JF288410	SRLV	A	A4
JF288411	SRLV	A	A4
JF288412	SRLV	A	A4
JF288413	SRLV	A	A4
JF288414	SRLV	A	A4
JF288415	SRLV	A	A4
JF288416	SRLV	A	-
JF288417	SRLV	A	-
JF288418	SRLV	A	-
JF288419	SRLV	A	-
JF288420	SRLV	A	-
JF288421	SRLV	A	-
JF288422	SRLV	A	A4
JF288423	SRLV	A	-
JF288424	SRLV	A	A4
JF288425	SRLV	A	-
JF288426	SRLV	A	-
JF288427	SRLV	A	-
JF288428	SRLV	A	-
JF288429	SRLV	A	-
JF288430	SRLV	A	-
JF288431	SRLV	A	-
JF288432	SRLV	A	-
JF288433	SRLV	A	-
JF288434	SRLV	A	-
JF288435	SRLV	A	-
JF288436	SRLV	A	-
JF288437	SRLV	A	-
JF288438	SRLV	A	-
JF288439	SRLV	A	-
JF288440	SRLV	A	-
JF288441	SRLV	A	A4
JF288442	SRLV	A	A4
JF288443	SRLV	A	A4
JF288444	SRLV	A	A4
JF288445	SRLV	A	A4
JF288446	SRLV	A	-
JF288447	SRLV	A	-
JF288448	SRLV	A	A4
JF288449	SRLV	A	A4
JF288450	SRLV	A	A4
JF288451	SRLV	A	A4
JF288452	SRLV	A	A4
JF288453	SRLV	A	A4
JF288454	SRLV	A	A4
JF288455	SRLV	A	A4
JF288456	SRLV	A	A4
JF288457	SRLV	A	A4
JF288458	SRLV	A	A4
JF288459	SRLV	A	A4
JF288460	SRLV	A	A4
JF288461	SRLV	A	A4
JF288462	SRLV	A	A4
JF288463	SRLV	A	A4
JF288464	SRLV	A	A4
JF288465	SRLV	A	A4
JF288466	SRLV	A	A4
JF288467	SRLV	A	A4
JF288468	SRLV	A	A4
JF288469	SRLV	A	A4
JF288470	SRLV	A	A4
JF288471	SRLV	A	A4
JF288472	SRLV	A	A4
JF288473	SRLV	A	A4
JF288474	SRLV	A	A4
JF288475	SRLV	A	A4
JF288476	SRLV	A	A4
JF288477	SRLV	A	A4
JF288478	SRLV	A	A4
JF288479	SRLV	A	A4
JF288480	SRLV	A	A4
JF288481	SRLV	A	A4
JF288482	SRLV	A	A4
JF288483	SRLV	A	A4
JF288484	SRLV	A	A4
JF288485	SRLV	A	A4
JF288486	SRLV	A	A4
JF288487	SRLV	A	A4
JF288488	SRLV	A	A4
JF288489	SRLV	A	A4
JF288490	SRLV	A	A4
JF288491	SRLV	A	A4
JF288492	SRLV	A	A4
JF288493	SRLV	A	A4
JF288494	SRLV	A	A4
JF288495	SRLV	A	A4
JF288496	SRLV	A	A4
JF288497	SRLV	A	A4
JF288498	SRLV	A	A4
JF288499	SRLV	A	A4
JF288500	SRLV	A	A4
JF288501	SRLV	A	A4
JF288502	SRLV	A	A4
JF288503	SRLV	A	A4
JF288504	SRLV	A	A4
JF288505	SRLV	A	A4
JF288506	SRLV	A	A4
JF288507	SRLV	A	A4
JF288508	SRLV	A	A4
JF288509	SRLV	A	A4
JF288510	SRLV	A	A4
JF288511	SRLV	A	A4
JF288512	SRLV	A	A4
JF288513	SRLV	A	A4
JF288514	SRLV	A	A4
JF288515	SRLV	A	A4
JF288516	SRLV	A	A4
JF288517	SRLV	A	A4
JF288518	SRLV	A	A4
JF288519	SRLV	A	A4
JF288520	SRLV	A	A4
JF288521	SRLV	A	A4
JF288522	SRLV	A	A4
JF288523	SRLV	A	A4
JF288524	SRLV	A	A4
JF288525	SRLV	A	A4
JF288526	SRLV	A	A4
JF288527	SRLV	A	A4
JF288528	SRLV	A	A4
JF288529	SRLV	A	A4
JF288530	SRLV	A	A4
JF288531	SRLV	A	A4
JF288532	SRLV	A	A4
JF288533	SRLV	A	A4
JF288534	SRLV	A	A4
JF288535	SRLV	A	A4
JF288536	SRLV	A	A4
JF502418	SRLV	BC	B3
JF520393	SRLV	BC	-
JF520394	SRLV	E	E2
JF520395	SRLV	BC	B3
JF520396	SRLV	BC	-
JF520397	SRLV	BC	-
JF714253	SRLV	BC	B1
JF714254	SRLV	BC	B1
JF714255	SRLV	BC	B1
JN184351	SRLV	A	A4
JN184352	SRLV	A	A4
JN184353	SRLV	A	A4
JN184354	SRLV	A	A4
JN184355	SRLV	A	A4
JN184356	SRLV	A	A4
JN184357	SRLV	A	A4
JN184358	SRLV	A	A1
JN184359	SRLV	A	A4
JN184360	SRLV	B	-
JN184361	SRLV	B	-
JN184362	SRLV	A	A4
JN184363	SRLV	A	A4
JN184364	SRLV	A	A4
JN184365	SRLV	A	A4
JN184366	SRLV	A	A4
JN184367	SRLV	A	A4
JN184368	SRLV	A	A4
JN184369	SRLV	A	A4
JN184370	SRLV	A	A4
JN184371	SRLV	A	A1
JN184372	SRLV	A	A4
JN184373	SRLV	BC	B2
JN184374	SRLV	B	-
JN184375	SRLV	BC	B2
JN184376	SRLV	BC	B2
JN184377	SRLV	BC	B2
JN184378	SRLV	BC	B2
JN184379	SRLV	A	A4
JN184380	SRLV	A	A4
JN184381	SRLV	A	A4
JN184382	SRLV	A	A4
JN184383	SRLV	A	A4
JN184384	SRLV	A	A4
JN184385	SRLV	A	A4
JN184386	SRLV	A	A4
JN184387	SRLV	BC	B2
JN184388	SRLV	BC	B2
JN184389	SRLV	A	A4
JN184390	SRLV	A	A4
JN184391	SRLV	BC	B2
JN184392	SRLV	BC	B2
JN184393	SRLV	BC	B2
JN184394	SRLV	BC	B2
JQ290318	SRLV	BC	B1
JQ290319	SRLV	BC	B1
JQ290320	SRLV	BC	B1
JQ290321	SRLV	BC	B1
JQ290322	SRLV	BC	B1
JQ290323	SRLV	BC	B1
JQ290324	SRLV	BC	B1
JQ290325	SRLV	BC	B1
JQ290326	SRLV	BC	B1
JQ290327	SRLV	BC	B1
JQ290328	SRLV	BC	B1
JQ290329	SRLV	BC	B1
JQ290330	SRLV	BC	B1
JQ290331	SRLV	BC	B1
JQ290332	SRLV	BC	B1
JQ290333	SRLV	BC	B1
JQ290334	SRLV	BC	B1
JQ290335	SRLV	BC	B1
JQ290336	SRLV	BC	B1
JQ290337	SRLV	BC	B1
JQ290338	SRLV	BC	B1
